Date,Estimate,Status,Success,Name,Address,Zip-code,City,Country
1986-01-09 13:11:22,0.2863536347272584,completed,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1990-12-27 23:41:28,0.2886732557341884,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1988-05-19 02:10:42,0.8628968788661224,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1988-08-27 22:34:28,0.0508512023209196,completed,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1991-06-10 10:10:15,0.2428424766272436,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1989-01-10 14:39:41,0.3416474562392521,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1989-06-04 10:36:42,0.7565742253111268,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1986-04-10 05:56:06,0.3977500857954393,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1992-07-07 21:14:39,0.1010298666608929,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1986-11-18 20:02:52,0.0999189351307811,completed,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1987-10-04 12:40:21,0.8403980021781323,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1988-09-08 21:39:33,0.2115612983494593,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1987-01-31 00:29:22,0.3397717598305546,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1988-12-14 13:08:55,0.5607749905960346,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1986-08-08 17:27:07,0.9089182025476436,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1989-04-16 04:12:40,0.6519177366170165,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1986-05-19 07:27:57,0.0732288839114563,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1991-02-13 00:52:33,0.5184963981885761,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1990-03-22 05:36:36,0.0151815017225971,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1990-11-05 19:36:06,0.7525581569479116,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1989-03-24 08:16:57,0.7023680420668085,completed,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1991-07-02 07:30:28,0.2315840422318992,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1991-01-07 08:09:55,0.9549692849685122,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
1987-01-03 15:40:41,0.0447309322849941,in progress,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
