Date,Var1,Var2,Var3,Name,Address,Zip-code,City,Country
2006-06-24,0.5645303060323984,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2007-06-24,0.11476812485335319,completed,False,Beiersdorf Manufacturing Hamburg GmbH,Troplowitzstrasse 10,22529,Hamburg,Germany
2014-05-27,0.7933432639760845,in progress,False,Beiersdorf AG,Unnastrasse 48,20253,Hamburg,Germany
2009-12-10,0.7853969951247833,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
2016-01-15,0.36033648678784325,in progress,True,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2011-04-28,0.38864770805541327,completed,False,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
2018-07-16,0.547898275707625,completed,True,Beiersdorf AG,Unnastrasse 48,20253,Hamburg,Germany
2008-10-21,0.34340975248018224,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2007-07-30,0.4239751033427297,in progress,False,Beiersdorf Manufacturing Berlin GmbH,Franklinstrasse 1,10587,Berlin,Germany
2015-02-14,0.4199751751171523,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2018-02-23,0.7514291029244399,in progress,True,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2012-06-21,0.7363837134674532,in progress,True,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2006-12-16,0.3456954730736338,completed,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
2016-01-27,0.5285800070602303,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2014-01-30,0.13144524121049428,completed,False,Beiersdorf Manufacturing Berlin GmbH,Franklinstrasse 1,10587,Berlin,Germany
2018-07-13,0.45388835658740767,in progress,True,Beiersdorf AG,Unnastrasse 48,20253,Hamburg,Germany
2005-09-26,0.9880926149983987,completed,True,Beiersdorf Manufacturing Berlin GmbH,Franklinstrasse 1,10587,Berlin,Germany
2009-12-24,0.9725418885329,in progress,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2014-08-19,0.27022196252020425,in progress,True,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2006-01-09,0.929169006794279,completed,True,Beiersdorf Manufacturing Hamburg GmbH,Troplowitzstrasse 10,22529,Hamburg,Germany
2006-09-18,0.9345703731762341,in progress,True,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2011-06-10,0.19032950638992563,in progress,True,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2006-05-14,0.4372944242049235,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2017-02-03,0.027097304006399314,completed,True,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2010-02-10,0.3722764615103029,completed,True,Beiersdorf Manufacturing Berlin GmbH,Franklinstrasse 1,10587,Berlin,Germany
2010-03-27,0.34705191504379673,in progress,True,Beiersdorf Manufacturing Berlin GmbH,Franklinstrasse 1,10587,Berlin,Germany
2012-02-06,0.5204633705451487,in progress,True,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2005-06-22,0.8727302493956,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
2018-06-13,0.41423793271365505,in progress,True,Beiersdorf Shared Services GmbH,Quickbornstrasse 24,20253,Hamburg,Germany
2010-05-19,0.3294910672016256,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2014-01-20,0.597644453593028,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2006-10-18,0.18593455190603903,completed,False,La Prairie Group Deutschland GmbH,Lange Straße 65,76530,Baden-BadenHamburg,Germany
2011-03-11,0.055064869580531695,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
2007-02-14,0.048875443008777886,in progress,False,Beiersdorf Customer Supply GmbH,Unnastrasse 48,20253,Hamburg,Germany
2012-09-13,0.9225034494648512,in progress,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
2010-05-11,0.587432029689343,in progress,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
2007-02-25,0.9929504571233341,completed,False,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
2010-05-19,0.34727467608968343,completed,True,Beiersdorf AG,Unnastrasse 48,20253,Hamburg,Germany
2018-03-06,0.4347432871052871,completed,True,Beiersdorf AG,Unnastrasse 48,20253,Hamburg,Germany
2016-03-03,0.2610447211240561,in progress,True,Beiersdorf Manufacturing Hamburg GmbH,Troplowitzstrasse 10,22529,Hamburg,Germany
2017-05-09,0.47301037029027126,completed,True,Beiersdorf Manufacturing Waldheim GmbH,Am Eichberg,04736,Waldheim,Germany
